"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.903358336E1,6.505852000E1,2.545849500E1,1.761472422E1,1.192611337E0,1.830700073E2,1.600000024E0,1.069999981E1
1.000335834E2,6.505850833E1,2.545849333E1,1.741472858E1,1.199302793E0,1.777799988E2,1.600000024E0,1.080000019E1
1.010335834E2,6.505849667E1,2.545850167E1,1.731473404E1,1.219891667E0,1.756999969E2,1.600000024E0,1.110000038E1
1.020335834E2,6.505848333E1,2.545850000E1,1.711473905E1,1.228641987E0,1.804400024E2,1.600000024E0,1.119999981E1
1.030335834E2,6.505846833E1,2.545849667E1,1.641474452E1,1.276511073E0,1.732100067E2,1.600000024E0,1.139999962E1
1.040335834E2,6.505845667E1,2.545849667E1,1.651474906E1,1.274966955E0,1.780299988E2,1.700000048E0,1.150000000E1
1.050335834E2,6.505845000E1,2.545850333E1,1.641475239E1,1.276511073E0,1.721100006E2,1.600000024E0,1.119999981E1
1.060335834E2,6.505843833E1,2.545851667E1,1.601475840E1,1.280114174E0,1.803699951E2,1.500000000E0,1.110000038E1
1.070335834E2,6.505842833E1,2.545851833E1,1.591476247E1,1.277025819E0,1.827899933E2,1.500000000E0,1.119999981E1
1.080335834E2,6.505841667E1,2.545852167E1,1.561476738E1,1.283717275E0,1.766699982E2,1.600000024E0,1.150000000E1
1.090335834E2,6.505840667E1,2.545852667E1,1.551477182E1,1.268790245E0,1.830000000E2,1.600000024E0,1.160000038E1
1.100335834E2,6.505839833E1,2.545852667E1,1.551477507E1,1.241510034E0,1.818200073E2,1.500000000E0,1.130000019E1
1.110335834E2,6.505838500E1,2.545852167E1,1.571477971E1,1.248201370E0,1.771399994E2,1.500000000E0,1.080000019E1
1.120335834E2,6.505837000E1,2.545852667E1,1.591478610E1,1.248716116E0,1.782599945E2,1.600000024E0,1.089999962E1
1.130335834E2,6.505835333E1,2.545852833E1,1.631479277E1,1.223494768E0,1.898600006E2,1.500000000E0,1.050000000E1
1.140335834E2,6.505834000E1,2.545852000E1,1.611479705E1,1.214744449E0,1.894100037E2,1.500000000E0,1.050000000E1
1.150335834E2,6.505832333E1,2.545852333E1,1.641480390E1,1.246657252E0,1.819499969E2,1.399999976E0,1.050000000E1
1.160335834E2,6.505831000E1,2.545852167E1,1.661480891E1,1.261069417E0,1.932799988E2,1.500000000E0,1.080000019E1
1.170335834E2,6.505829833E1,2.545852500E1,1.671481382E1,1.254378080E0,1.837100067E2,1.500000000E0,1.069999981E1
1.180335834E2,6.505828667E1,2.545853000E1,1.721481891E1,1.234303832E0,1.870000000E2,1.500000000E0,1.080000019E1
1.190335834E2,6.505827500E1,2.545853333E1,1.721482382E1,1.237392187E0,1.723899994E2,1.600000024E0,1.119999981E1
1.200335834E2,6.505826000E1,2.545853500E1,1.731482984E1,1.269819736E0,1.707500000E2,1.500000000E0,1.110000038E1
1.210335834E2,6.505824833E1,2.545853333E1,1.771483420E1,1.275481701E0,1.798399963E2,1.600000024E0,1.080000019E1
1.220335834E2,6.505823167E1,2.545853333E1,1.811484069E1,1.276511073E0,1.807700043E2,1.500000000E0,1.050000000E1
1.230335834E2,6.505821833E1,2.545852667E1,1.811484515E1,1.282687783E0,1.826799927E2,1.500000000E0,1.080000019E1
1.240335834E2,6.505820667E1,2.545852167E1,1.821484914E1,1.272393346E0,1.903300018E2,1.500000000E0,1.060000038E1
1.250335834E2,6.505819000E1,2.545851333E1,1.861485472E1,1.260040045E0,1.896000061E2,1.500000000E0,1.069999981E1
1.260335834E2,6.505817333E1,2.545850833E1,1.831486066E1,1.266731381E0,1.819900055E2,1.600000024E0,1.089999962E1
1.270335834E2,6.505816000E1,2.545851000E1,1.751486603E1,1.290923357E0,1.765299988E2,1.500000000E0,1.130000019E1
1.280335834E2,6.505814833E1,2.545851167E1,1.701487076E1,1.273937464E0,1.776100006E2,1.500000000E0,1.130000019E1
1.290335834E2,6.505813667E1,2.545851167E1,1.661487530E1,1.269304991E0,1.793000031E2,1.500000000E0,1.069999981E1
1.300335834E2,6.505812667E1,2.545851000E1,1.611487901E1,1.272908092E0,1.758500061E2,1.500000000E0,1.110000038E1
1.310335834E2,6.505811333E1,2.545851167E1,1.601488439E1,1.249745607E0,1.806300049E2,1.500000000E0,1.119999981E1
1.320335834E2,6.505810000E1,2.545851333E1,1.621488976E1,1.226068377E0,1.757899933E2,1.500000000E0,1.119999981E1
1.330335834E2,6.505808667E1,2.545851333E1,1.651489495E1,1.222980022E0,1.875700073E2,1.500000000E0,1.119999981E1
1.340335834E2,6.505807333E1,2.545851000E1,1.661489978E1,1.223494768E0,2.041199951E2,1.500000000E0,1.100000000E1
1.350335834E2,6.505806167E1,2.545851000E1,1.641490432E1,1.233789206E0,1.861000061E2,1.500000000E0,1.110000038E1
1.360335834E2,6.505804833E1,2.545851333E1,1.641490988E1,1.238936424E0,1.814299927E2,1.500000000E0,1.110000038E1
1.370335834E2,6.505803500E1,2.545851833E1,1.661491561E1,1.243568897E0,1.786399994E2,1.500000000E0,1.110000038E1
1.380335834E2,6.505802167E1,2.545852333E1,1.701492135E1,1.313571095E0,1.741600037E2,1.500000000E0,1.100000000E1
1.390335834E2,6.505800833E1,2.545853167E1,1.721492746E1,1.369675875E0,1.738699951E2,1.500000000E0,1.110000038E1
1.400335834E2,6.505799333E1,2.545853500E1,1.731493366E1,1.368646383E0,1.728300018E2,1.500000000E0,1.110000038E1
1.410335834E2,6.505798167E1,2.545853500E1,1.741493820E1,1.373278856E0,1.850299988E2,1.500000000E0,1.089999962E1
1.420335834E2,6.505796833E1,2.545853333E1,1.771494321E1,1.382029176E0,1.831300049E2,1.500000000E0,1.110000038E1
1.430335834E2,6.505796000E1,2.545853000E1,1.801494609E1,1.391808867E0,1.863600006E2,1.500000000E0,1.080000019E1
1.440335834E2,6.505795000E1,2.545853000E1,1.791494999E1,1.377396703E0,1.824499969E2,1.500000000E0,1.119999981E1
1.450335834E2,6.505793833E1,2.545852500E1,1.781495398E1,1.360410810E0,1.878099976E2,1.500000000E0,1.130000019E1
1.460335834E2,6.505792833E1,2.545851833E1,1.781495714E1,1.324380279E0,1.828699951E2,1.500000000E0,1.139999962E1
1.470335834E2,6.505791833E1,2.545852000E1,1.771496122E1,1.306879759E0,1.799400024E2,1.600000024E0,1.130000019E1
1.480335834E2,6.505790667E1,2.545852000E1,1.761496576E1,1.257466435E0,1.808800049E2,1.600000024E0,1.139999962E1
1.490335834E2,6.505789667E1,2.545851667E1,1.781496929E1,1.253863335E0,1.821999969E2,1.600000024E0,1.130000019E1
1.500335834E2,6.505788667E1,2.545851333E1,1.781497282E1,1.261584163E0,1.985200043E2,1.600000024E0,1.139999962E1
1.510335834E2,6.505787667E1,2.545850667E1,1.791497599E1,1.279084682E0,2.108099976E2,1.600000024E0,1.119999981E1
1.520335834E2,6.505786667E1,2.545850000E1,1.811497915E1,1.284746647E0,2.085700073E2,1.600000024E0,1.110000038E1
