"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.701769050E1,-5.577365160E-1,-3.163747787E-1,9.797749519E-1
3.702568631E1,-5.355629921E-1,-4.343223572E-1,7.410914898E-1
3.703368143E1,-4.324796200E-1,-5.725049973E-1,5.727107525E-1
3.704170755E1,-1.885612011E-1,-7.519788742E-1,2.661774158E-1
3.704970297E1,7.920825481E-2,-8.737001419E-1,-6.223702431E-2
3.705769901E1,1.961723566E-1,-9.077682495E-1,-3.426058292E-1
3.706569475E1,1.943529844E-1,-9.782724380E-1,-6.330788136E-1
3.707369048E1,1.931034327E-1,-1.003230095E0,-7.700760365E-1
3.708168598E1,5.726885796E-2,-1.056478024E0,-8.459925652E-1
3.708968133E1,2.457153797E-2,-1.090321541E0,-8.897323608E-1
3.709770761E1,4.825329781E-2,-1.186093807E0,-9.344973564E-1
3.710570326E1,1.335482597E-1,-1.190433502E0,-9.301643372E-1
3.711369846E1,1.879128218E-1,-1.203626156E0,-9.177992344E-1
3.712169511E1,2.335945368E-1,-1.189792156E0,-9.808580875E-1
3.712969046E1,2.651132345E-1,-1.218208790E0,-9.659352303E-1
3.713768620E1,2.886587977E-1,-1.248574257E0,-9.410228729E-1
3.714568170E1,2.884147763E-1,-1.266718864E0,-8.718612194E-1
3.715370820E1,2.838436961E-1,-1.285085678E0,-7.644252777E-1
3.716170332E1,1.897230148E-1,-1.306446552E0,-6.111018658E-1
3.716969898E1,-7.057189941E-5,-1.226468563E0,-5.558669567E-1
3.717769471E1,-2.023764849E-1,-1.131833076E0,-5.290634632E-1
3.718569044E1,-3.582227230E-1,-9.294795990E-1,-5.500824451E-1
3.719368618E1,-4.208027124E-1,-6.554031372E-1,-5.144202709E-1
3.720168160E1,-3.858237267E-1,-4.551734924E-1,-4.951136112E-1
3.720970780E1,-2.194130421E-1,-3.095998764E-1,-5.015118122E-1
3.721770415E1,-8.733797073E-2,-2.515754700E-1,-6.126730442E-1
3.722569896E1,1.168691516E-1,-1.631183624E-1,-8.770065308E-1
3.723369446E1,2.024826407E-1,-6.938171387E-2,-1.090731144E0
3.724169081E1,2.352672219E-1,5.191230774E-2,-1.219647646E0
3.724968593E1,2.182224989E-1,2.085857391E-1,-1.219951630E0
3.725771212E1,2.219344378E-1,3.790473938E-1,-1.115995646E0
3.726570816E1,2.409273386E-1,6.039009094E-1,-8.958687782E-1
3.727370321E1,1.817893982E-1,8.207454681E-1,-6.550402641E-1
3.728169925E1,1.786191463E-1,1.009740829E0,-3.964636326E-1
3.728969436E1,1.180189252E-1,1.242341042E0,-2.384526730E-1
3.729769018E1,-4.158419371E-2,1.372674942E0,-1.116232872E-1
3.730568622E1,-3.958699703E-1,1.522224426E0,2.558946609E-3
3.731371203E1,-6.689754725E-1,1.496042252E0,7.774448395E-2
3.732170815E1,-8.192130327E-1,1.413164139E0,5.738782883E-2
3.732970442E1,-8.495733738E-1,1.287771225E0,-1.090700626E-1
3.733769992E1,-8.294482231E-1,1.343157768E0,-3.211402893E-1
3.734569504E1,-7.442839146E-1,1.687959671E0,-6.299791336E-1
3.735369016E1,-7.678930759E-1,2.232789040E0,-9.761228561E-1
3.736168712E1,-8.536543250E-1,2.662686348E0,-1.124685764E0
3.736971262E1,-9.937630296E-1,2.930800438E0,-1.444169998E0
3.737770805E1,-1.156687021E0,2.918607712E0,-1.695395231E0
3.738570348E1,-1.240749359E0,2.653113365E0,-1.810436845E0
3.739369929E1,-1.050344944E0,2.048917770E0,-1.575221658E0
3.740169471E1,-7.696202397E-1,1.354205132E0,-1.132794619E0
3.740969099E1,-5.148823857E-1,6.756029129E-1,-6.658306122E-1
3.741768680E1,-4.291436076E-1,2.297143936E-1,-2.371544838E-1
3.742571299E1,-5.545416474E-1,-1.863670349E-2,3.658740520E-1
3.743370834E1,-8.159863949E-1,1.031246185E-1,7.097797394E-1
3.744170407E1,-9.371032715E-1,3.992757797E-1,8.289053440E-1
3.744969896E1,-8.151179552E-1,9.267053604E-1,8.312585354E-1
3.745769531E1,-2.673755884E-1,1.135539055E0,5.812866688E-1
3.746569097E1,3.281425238E-1,9.547700882E-1,-8.327436447E-2
3.747368639E1,5.801337957E-1,6.436729431E-1,-6.870570183E-1
3.748171289E1,6.270741224E-1,3.773803711E-1,-9.698359966E-1
3.748970871E1,3.940774798E-1,-3.614616394E-2,-7.776076794E-1
3.749770405E1,9.144067764E-2,-4.359025955E-1,-6.347246170E-1
3.750570010E1,-2.340060472E-1,-8.349218369E-1,-3.903601170E-1
3.751369437E1,-7.230765820E-1,-7.551870346E-1,-2.680325508E-2
3.752169064E1,-1.050054908E0,-3.467922211E-1,6.086087227E-2
3.752968699E1,-1.153236628E0,1.356744766E-1,-1.592068672E-1
3.753771295E1,-1.038972020E0,4.576778412E-1,-6.394922733E-1
3.754570746E1,-6.340018511E-1,5.563001633E-1,-1.109477043E0
3.755370342E1,-2.609466314E-1,3.500862122E-1,-1.542232990E0
3.756169915E1,-5.900859833E-2,-1.987457275E-3,-1.657301903E0
3.756969489E1,6.528019905E-3,-5.616378784E-1,-1.644480467E0
3.757768978E1,7.805776596E-2,-1.239955425E0,-1.203017950E0
3.758568574E1,1.797273159E-1,-1.785034180E0,-5.237011909E-1
3.759371293E1,3.291575909E-1,-2.354719639E0,2.332825661E-1
3.760170774E1,4.848183393E-1,-2.648122787E0,6.983025074E-1
3.760970402E1,5.250488520E-1,-2.718113899E0,1.313520432E0
3.761769944E1,5.153590441E-1,-2.634815693E0,1.561025858E0
3.762569494E1,5.673153400E-1,-2.575093746E0,1.539883852E0
3.763369037E1,7.516314983E-1,-2.498583317E0,1.262189627E0
3.764168603E1,7.685114145E-1,-2.383853436E0,8.587162495E-1
3.764971222E1,5.592731237E-1,-2.138030052E0,8.738780022E-2
3.765770796E1,2.653186321E-1,-1.964853287E0,-6.844997406E-1
3.766570408E1,4.337286949E-2,-1.855143070E0,-1.183482170E0
3.767369942E1,-1.471676826E-1,-1.673243523E0,-1.346386194E0
3.768169523E1,-2.958526611E-1,-1.536364555E0,-1.315606117E0
3.768969058E1,-3.078912497E-1,-1.432765484E0,-1.079194069E0
3.769768693E1,-9.309828281E-2,-1.408513069E0,-6.768722534E-1
3.770571290E1,1.904871464E-1,-1.313842297E0,-1.850309372E-1
3.771370855E1,4.916591644E-1,-1.135718346E0,3.656435013E-1
3.772170436E1,6.475172043E-1,-9.899711609E-1,6.661517620E-1
3.772969948E1,8.710067868E-1,-7.693214417E-1,9.259018898E-1
3.773769637E1,1.102396727E0,-5.482082367E-1,8.965740204E-1
3.774569064E1,1.289602876E0,-3.998079300E-1,7.613887787E-1
3.775368607E1,1.480798602E0,-2.514467239E-1,5.338413715E-1
3.776171257E1,1.378770828E0,-5.889415741E-2,3.269195557E-1
3.776970854E1,1.135231018E0,2.717399597E-1,1.348643303E-1
3.777770458E1,8.702530265E-1,4.628124237E-1,1.778154373E-1
3.778569939E1,7.504751086E-1,6.502819061E-1,3.632009029E-1
3.779369543E1,6.779195070E-1,9.413185120E-1,5.847494602E-1
3.780169147E1,5.065858364E-1,1.316347122E0,7.022657394E-1
3.780968574E1,2.735242844E-1,1.822714806E0,8.899724483E-1
3.781771309E1,8.509504795E-2,2.228206635E0,8.038287163E-1
3.782570852E1,-8.992195129E-3,2.447561264E0,6.389486790E-1
3.783370464E1,-1.198036671E-1,2.709192276E0,3.685510159E-1
3.784169914E1,-2.557908297E-1,2.932452202E0,1.242477894E-1
3.784969487E1,-4.591208696E-1,3.175640106E0,-1.099491119E-1
3.785769091E1,-5.360246897E-1,3.319792747E0,-2.711677551E-1
3.786568634E1,-5.104824305E-1,3.300401688E0,-3.584544659E-1
3.787371276E1,-5.385335684E-1,3.148700714E0,-2.775175571E-1
3.788170819E1,-6.441521645E-1,2.962935448E0,5.321311951E-2
3.788970454E1,-7.540565729E-1,2.715446472E0,3.940842152E-1
3.789770035E1,-5.768630505E-1,2.290971756E0,1.037108898E0
3.790569516E1,-2.409665585E-1,1.915247917E0,1.713002920E0
3.791369120E1,1.426846981E-1,1.565200806E0,2.210450172E0
3.792168655E1,4.142115116E-1,1.368728638E0,2.538256168E0
3.792971221E1,6.715618968E-1,1.260895729E0,2.620951176E0
3.793770909E1,8.067433834E-1,1.128151894E0,2.492183685E0
3.794570460E1,7.496709228E-1,1.047048569E0,2.267208099E0
